2026-04-13 18:43:47,764 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4764
2026-04-13 18:43:47,764 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4765
2026-04-13 18:43:47,766 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4766
2026-04-13 18:43:47,766 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4767
2026-04-13 18:43:47,767 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4768
2026-04-13 18:43:47,769 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4769
2026-04-13 18:43:47,770 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4770
2026-04-13 18:43:47,772 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4771
2026-04-13 18:43:47,773 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4772
2026-04-13 18:43:47,774 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4773
2026-04-13 18:43:47,775 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4774
2026-04-13 18:43:47,776 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4775
2026-04-13 18:43:47,776 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4776
2026-04-13 18:43:47,778 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4777
2026-04-13 18:43:47,779 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4778
2026-04-13 18:43:47,780 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4779
2026-04-13 18:43:47,782 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4780
2026-04-13 18:43:47,783 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4781
2026-04-13 18:43:47,784 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4782
2026-04-13 18:43:47,786 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4783
2026-04-13 18:43:47,791 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4784
2026-04-13 18:43:47,793 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4785
2026-04-13 18:43:47,793 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4786
2026-04-13 18:43:47,794 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4787
2026-04-13 18:43:47,795 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4788
2026-04-13 18:43:47,796 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4789
2026-04-13 18:43:47,797 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4790
2026-04-13 18:43:47,797 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4791
2026-04-13 18:43:47,798 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4792
2026-04-13 18:43:47,799 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4793
2026-04-13 18:43:47,800 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4794
2026-04-13 18:43:47,801 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4795
2026-04-13 18:43:47,803 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4796
2026-04-13 18:43:47,804 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4797
2026-04-13 18:43:47,805 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4798
2026-04-13 18:43:47,806 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4799
2026-04-13 18:43:47,807 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4800
2026-04-13 18:43:47,807 | kafka_producer | INFO | Sent batch of 50 events to topic 'transactions'
2026-04-13 18:43:48,942 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4048
2026-04-13 18:43:48,951 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4049
2026-04-13 18:43:48,952 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4050
2026-04-13 18:43:48,953 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4051
2026-04-13 18:43:48,954 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4052
2026-04-13 18:43:48,955 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4053
2026-04-13 18:43:48,955 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4054
2026-04-13 18:43:48,956 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4055
2026-04-13 18:43:48,957 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4056
2026-04-13 18:43:48,958 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4057
2026-04-13 18:43:48,959 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4058
2026-04-13 18:43:48,960 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4059
2026-04-13 18:43:48,962 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4060
2026-04-13 18:43:48,963 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4061
2026-04-13 18:43:48,964 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4062
2026-04-13 18:43:48,965 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4063
2026-04-13 18:43:48,966 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4064
2026-04-13 18:43:48,966 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4065
2026-04-13 18:43:48,967 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4066
2026-04-13 18:43:48,967 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4067
2026-04-13 18:43:48,968 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4068
2026-04-13 18:43:48,969 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4069
2026-04-13 18:43:48,969 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4070
2026-04-13 18:43:48,973 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4071
2026-04-13 18:43:48,979 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4072
2026-04-13 18:43:48,979 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4073
2026-04-13 18:43:48,980 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4074
2026-04-13 18:43:48,981 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4075
2026-04-13 18:43:48,981 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4076
2026-04-13 18:43:48,984 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4077
2026-04-13 18:43:48,986 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4078
2026-04-13 18:43:48,986 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4079
2026-04-13 18:43:48,998 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4080
2026-04-13 18:43:48,999 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4081
2026-04-13 18:43:49,000 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4082
2026-04-13 18:43:49,001 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4083
2026-04-13 18:43:49,001 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4084
2026-04-13 18:43:49,008 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4085
2026-04-13 18:43:49,009 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4086
2026-04-13 18:43:49,015 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4087
2026-04-13 18:43:49,017 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4088
2026-04-13 18:43:49,019 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4089
2026-04-13 18:43:49,020 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4090
2026-04-13 18:43:49,021 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4091
2026-04-13 18:43:49,021 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4092
2026-04-13 18:43:49,022 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4093
2026-04-13 18:43:49,024 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4094
2026-04-13 18:43:49,024 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4095
2026-04-13 18:43:49,025 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4096
2026-04-13 18:43:49,026 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4097
2026-04-13 18:43:49,026 | kafka_producer | INFO | Sent batch of 50 events to topic 'transactions'
2026-04-13 18:43:50,147 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3801
2026-04-13 18:43:50,149 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3802
2026-04-13 18:43:50,149 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3803
2026-04-13 18:43:50,150 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3804
2026-04-13 18:43:50,151 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3805
2026-04-13 18:43:50,152 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3806
2026-04-13 18:43:50,152 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3807
2026-04-13 18:43:50,153 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3808
2026-04-13 18:43:50,154 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3809
2026-04-13 18:43:50,154 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3810
2026-04-13 18:43:50,155 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3811
2026-04-13 18:43:50,156 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3812
2026-04-13 18:43:50,156 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3813
2026-04-13 18:43:50,159 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3814
